code,accountable,transaction_type,date
Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble,2022-01-01
Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble,2022-02-01
Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01,K2C-30-15-B3^2022-01-01,Mensualidad Arriendo Inmueble,2022-03-01
Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble,2022-01-15
Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble,2022-02-15
Mensualidad Arriendo Inmueble^2022-03-15_C31-1B-64^2022-01-15,C31-1B-64^2022-01-15,Mensualidad Arriendo Inmueble,2022-03-15
Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble,2022-01-15
Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble,2022-01-31
Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,K1B-30-16^2022-01-31,Mensualidad Arriendo Inmueble,2022-02-28
Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble,2022-01-10
Mensualidad Arriendo Inmueble^2022-02-01_C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble,2022-02-01
Mensualidad Arriendo Inmueble^2022-03-01_C18-1N-33^2022-01-01,C18-1N-33^2022-01-01,Mensualidad Arriendo Inmueble,2022-03-01
Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,A6N-13N-62-S110^2022-01-30,Mensualidad Arriendo Inmueble,2022-02-05
Mensualidad Arriendo Inmueble^2022-02-28_A6N-13N-62-S110^2022-01-30,A6N-13N-62-S110^2022-01-30,Mensualidad Arriendo Inmueble,2022-02-28
