,id,state_change_user_id,state_change_date,state,factor_id,validity_date,amount,percentage,in_instance_attribute
0,1,1,2022-10-25 20:09:21.608101+00:00,1,IVA,2010-01-01,0,19,
1,2,1,2022-10-25 20:09:21.608167+00:00,1,Base,2010-01-01,0,100,
2,3,1,2022-10-26 16:26:38.026893+00:00,1,Base + IVA,2010-01-01,0,119,
3,4,1,2022-10-26 16:27:19.675158+00:00,1,Retefuente,2010-01-01,0,3.5,
4,5,1,2022-10-26 16:28:07.877523+00:00,1,Base + IVA - Retefuente,2010-01-01,0,115.5,
5,6,1,2022-10-26 16:28:07.877523+00:00,1,Base - Retefuente,2010-01-01,0,96.5,
