,state_change_user_id,state_change_date,state,type,use,code,address_id,total_area
56,1,2022-12-13 17:41:16.663284+00:00,1,1,1,A6N-13N-66,A6N-13N-66,120
57,1,2022-12-13 17:41:16.663298+00:00,1,1,1,A6N-13N-68,A6N-13N-68,31
58,1,2022-12-13 17:41:16.663312+00:00,1,3,2,C18-1N-33,C18-1N-33,126
59,1,2022-12-13 17:41:16.663326+00:00,1,3,2,C18-1N-39,C18-1N-39,324
60,1,2022-12-13 17:41:16.663340+00:00,1,3,2,C18-1N-41,C18-1N-41,326
61,1,2022-12-13 17:41:16.663354+00:00,1,3,2,C18-1N-43,C18-1N-43,214
62,1,2022-12-13 17:41:16.663368+00:00,1,3,2,C30-1B-13,C30-1B-13,70
63,1,2022-12-13 17:41:16.663382+00:00,1,3,2,C30-1B-15-B1,C30-1B-15-B1,82
64,1,2022-12-13 17:41:16.663395+00:00,1,3,2,C30-1B-15-B2,C30-1B-15-B2,131
65,1,2022-12-13 17:41:16.663410+00:00,1,3,2,C30-1B-15-B3,C30-1B-15-B3,132
66,1,2022-12-13 17:41:16.663423+00:00,1,3,2,C30-1B-15-B5,C30-1B-15-B5,121
67,1,2022-12-13 17:41:16.663438+00:00,1,3,2,C30-1B-27,C30-1B-27,505
68,1,2022-12-13 17:41:16.663452+00:00,1,3,2,C30-1B-31,C30-1B-31,480
69,1,2022-12-13 17:41:16.663466+00:00,1,3,2,C31-1B-24,C31-1B-24,679
70,1,2022-12-13 17:41:16.663480+00:00,1,3,2,C31-1B-34,C31-1B-34,722
71,1,2022-12-13 17:41:16.663495+00:00,1,3,2,C31-1B-4,C31-1B-4,986
72,1,2022-12-13 17:41:16.663510+00:00,1,3,2,C31-1B-44,C31-1B-44,513
73,1,2022-12-13 17:41:16.663524+00:00,1,3,2,C31-1B-54,C31-1B-54,464
74,1,2022-12-13 17:41:16.663537+00:00,1,3,2,C31-1B-64,C31-1B-64,416
75,1,2022-12-13 17:41:16.663551+00:00,1,3,2,C31-1B-74,C31-1B-74,454
76,1,2022-12-13 17:41:16.663565+00:00,1,3,2,C31-1B-80,C31-1B-80,288
77,1,2022-12-13 17:41:16.663579+00:00,1,1,1,K1-17-37,K1-17-37,116
78,1,2022-12-13 17:41:16.663593+00:00,1,1,1,K1-17-43,K1-17-43,145
79,1,2022-12-13 17:41:16.663607+00:00,1,1,1,K1-17-47,K1-17-47,145
80,1,2022-12-13 17:41:16.663621+00:00,1,1,1,K1-17-53,K1-17-53,145
81,1,2022-12-13 17:41:16.663635+00:00,1,1,1,K1-17-57,K1-17-57,257
82,1,2022-12-13 17:41:16.663649+00:00,1,1,1,K1-17-65,K1-17-65,600
83,1,2022-12-13 17:41:16.663662+00:00,1,3,2,K1-35-29-B11,K1-35-29-B11,555
84,1,2022-12-13 17:41:16.663676+00:00,1,3,2,K1-35-29-B9,K1-35-29-B9,522
85,1,2022-12-13 17:41:16.663690+00:00,1,3,2,K1B-30-16,K1B-30-16,486
86,1,2022-12-13 17:41:16.663704+00:00,1,3,2,K1B-30-34,K1B-30-34,864
87,1,2022-12-13 17:41:16.663718+00:00,1,3,2,K1B-30-52,K1B-30-52,243
88,1,2022-12-13 17:41:16.663732+00:00,1,3,2,K1B-30-76,K1B-30-76,260
89,1,2022-12-13 17:41:16.663745+00:00,1,3,2,K2C-29-36,K2C-29-36,304
90,1,2022-12-13 17:41:16.663759+00:00,1,3,2,K2C-30-15-B2,K2C-30-15-B2,1117
91,1,2022-12-13 17:41:16.663773+00:00,1,3,2,K2C-30-15-B3,K2C-30-15-B3,372
92,1,2022-12-13 17:41:16.663787+00:00,1,3,2,K2C-30-27,K2C-30-27,484
93,1,2022-12-13 17:41:16.663802+00:00,1,3,2,K2C-30-29,K2C-30-29,639
94,1,2022-12-13 17:41:16.663816+00:00,1,3,2,K2C-30-3,K2C-30-3,670
95,1,2022-12-13 17:41:16.663830+00:00,1,3,2,K2C-30-51,K2C-30-51,320
96,1,2022-12-13 17:41:16.663856+00:00,1,3,2,K2C-30-9,K2C-30-9,450
