,state_change_user_id,state_change_date,state,name
0,1,2022-04-28 22:01:36.294429+00:00,1,Arriendo Inmueble Residencial
1,1,2022-04-28 22:01:36.298165+00:00,1,Arriendo Inmueble Comercial
