,id,lease_id,realty_id,primary
0,1,K2C-30-15-B3^2022-01-01,K2C-30-15-B3,True
1,2,C31-1B-64^2022-01-15,C31-1B-64,True
2,3,K1B-30-16^2022-01-31,K1B-30-16,True
3,4,C18-1N-33^2022-01-01,C18-1N-33,True
4,5,A6N-13N-62-S110^2022-01-30,A6N-13N-62-S110,True
