,state_change_user_id,state_change_date,state,code,transaction_type_id,ledger_type_id
0,1,2022-04-28 22:01:36.336346+00:00,1,FV_Arriendo Inmueble Residencial,Arriendo Inmueble Residencial,Factura de Venta
1,1,2022-04-28 22:01:36.341498+00:00,1,FV_Arriendo Inmueble Comercial,Arriendo Inmueble Comercial,Factura de Venta
