,id,ledger_id,account_id,value,concept_id,settled
52,197,RC-00000001,11100505,1000000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
53,198,RC-00000001,13802005,-715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
54,199,RC-00000001,13802010,-285000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
55,200,RC-00000001,913005,715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
56,201,RC-00000001,28150505,-715000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
57,202,RC-00000002,11100505,2310000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
58,203,RC-00000002,13802005,-2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
59,204,RC-00000002,13802010,-380000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
60,205,RC-00000002,913005,2000000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
61,206,RC-00000002,28150505,-1930000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
62,207,RC-00000002,839530,70000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
63,208,RC-00000002,93950505,-70000,Mensualidad Arriendo Inmueble^2022-01-15_C31-1B-64^2022-01-15,False
64,209,RC-00000003,11100505,1848000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
65,210,RC-00000003,13802005,-1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
66,211,RC-00000003,13802010,-304000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
67,212,RC-00000003,913005,1600000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
68,213,RC-00000003,28150505,-1544000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
69,214,RC-00000003,839530,56000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
70,215,RC-00000003,93950505,-56000,Mensualidad Arriendo Inmueble^2022-01-15_K1B-30-16^2022-01-31,False
71,216,RC-00000004,11100505,785000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
72,217,RC-00000004,11100505,215000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
73,218,RC-00000004,13802005,-785000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
74,219,RC-00000004,13802010,-267500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
75,220,RC-00000004,913005,785000,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
76,221,RC-00000004,28150505,-732500,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
77,222,RC-00000004,839530,52500,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
78,223,RC-00000004,93950505,-52500,Mensualidad Arriendo Inmueble^2022-01-01_K2C-30-15-B3^2022-01-01,False
79,224,RC-00000005,11100505,3465000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
80,225,RC-00000005,13802005,-3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
81,226,RC-00000005,13802010,-570000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
82,227,RC-00000005,913005,3000000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
83,228,RC-00000005,28150505,-2895000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
84,229,RC-00000005,839530,105000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
85,230,RC-00000005,93950505,-105000,Mensualidad Arriendo Inmueble^2022-01-31_K1B-30-16^2022-01-31,False
86,231,RC-00000006,11100505,844516,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
87,232,RC-00000006,13802005,-709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
88,233,RC-00000006,13802010,-134839,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
89,234,RC-00000006,913005,709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
90,235,RC-00000006,28150505,-709677,Mensualidad Arriendo Inmueble^2022-01-10_C18-1N-33^2022-01-01,False
91,236,RC-00000007,11100505,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,False
92,237,RC-00000007,13802005,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,False
93,238,RC-00000007,913005,413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,False
94,239,RC-00000007,28150505,-413793,Mensualidad Arriendo Inmueble^2022-02-05_A6N-13N-62-S110^2022-01-30,False
95,240,RC-00000008,11100505,1000000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
96,241,RC-00000008,13802005,-982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
97,242,RC-00000008,13802010,-17500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
98,243,RC-00000008,913005,982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
99,244,RC-00000008,28150505,-982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01,False
100,245,RC-00000009,11100505,2310000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
101,246,RC-00000009,13802005,-2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
102,247,RC-00000009,13802010,-380000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
103,248,RC-00000009,913005,2000000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
104,249,RC-00000009,28150505,-1930000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
105,250,RC-00000009,839530,70000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
106,251,RC-00000009,93950505,-70000,Mensualidad Arriendo Inmueble^2022-02-15_C31-1B-64^2022-01-15,False
107,252,RC-00000010,11100505,3465000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
108,253,RC-00000010,13802005,-3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
109,254,RC-00000010,13802010,-570000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
110,255,RC-00000010,913005,3000000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
111,256,RC-00000010,28150505,-2895000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
112,257,RC-00000010,839530,105000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
113,258,RC-00000010,93950505,-105000,Mensualidad Arriendo Inmueble^2022-02-28_K1B-30-16^2022-01-31,False
