,id,name,content_type_id,codename
0,141,Can add Contabilizable,33,add_accountable
1,142,Can change Contabilizable,33,change_accountable
2,143,Can delete Contabilizable,33,delete_accountable
3,144,Can view Contabilizable,33,view_accountable
4,150,Can add Fecha Valor,35,add_date_value
5,151,Can change Fecha Valor,35,change_date_value
6,152,Can delete Fecha Valor,35,delete_date_value
7,153,Can view Fecha Valor,35,view_date_value
8,149,Can activate lease realty.,34,activate_lease_realty
9,145,Can add Arriendo Inmueble,34,add_lease_realty
10,146,Can change Arriendo Inmueble,34,change_lease_realty
11,147,Can delete Arriendo Inmueble,34,delete_lease_realty
12,148,Can view Arriendo Inmueble,34,view_lease_realty
13,158,Can add Parte Arriendo Inmueble,37,add_lease_realty_person
14,159,Can change Parte Arriendo Inmueble,37,change_lease_realty_person
15,160,Can delete Parte Arriendo Inmueble,37,delete_lease_realty_person
16,161,Can view Parte Arriendo Inmueble,37,view_lease_realty_person
17,154,Can add Inmueble Arriendo Inmueble,36,add_lease_realty_realty
18,155,Can change Inmueble Arriendo Inmueble,36,change_lease_realty_realty
19,156,Can delete Inmueble Arriendo Inmueble,36,delete_lease_realty_realty
20,157,Can view Inmueble Arriendo Inmueble,36,view_lease_realty_realty
21,113,Can activate account.,26,activate_account
22,109,Can add Cuenta,26,add_account
23,110,Can change Cuenta,26,change_account
24,111,Can delete Cuenta,26,delete_account
25,112,Can view Cuenta,26,view_account
26,114,Can view balance.,26,view_balance
27,140,Can activate charge.,32,activate_charge
28,136,Can add Movimiento,32,add_charge
29,137,Can change Movimiento,32,change_charge
30,138,Can delete Movimiento,32,delete_charge
31,139,Can view Movimiento,32,view_charge
32,132,Can add Concepto Movimiento,31,add_charge_concept
33,133,Can change Concepto Movimiento,31,change_charge_concept
34,134,Can delete Concepto Movimiento,31,delete_charge_concept
35,135,Can view Concepto Movimiento,31,view_charge_concept
36,128,Can add Formato Movimiento,30,add_charge_template
37,129,Can change Formato Movimiento,30,change_charge_template
38,130,Can delete Formato Movimiento,30,delete_charge_template
39,131,Can view Formato Movimiento,30,view_charge_template
40,127,Can activate ledger.,29,activate_ledger
41,123,Can add Registro,29,add_ledger
42,124,Can change Registro,29,change_ledger
43,125,Can delete Registro,29,delete_ledger
44,126,Can view Registro,29,view_ledger
45,119,Can add Formato Registro,28,add_ledger_template
46,120,Can change Formato Registro,28,change_ledger_template
47,121,Can delete Formato Registro,28,delete_ledger_template
48,122,Can view Formato Registro,28,view_ledger_template
49,115,Can add Registro Tipo,27,add_ledger_type
50,116,Can change Registro Tipo,27,change_ledger_type
51,117,Can delete Registro Tipo,27,delete_ledger_type
52,118,Can view Registro Tipo,27,view_ledger_type
53,1,Can add log entry,1,add_logentry
54,2,Can change log entry,1,change_logentry
55,3,Can delete log entry,1,delete_logentry
56,4,Can view log entry,1,view_logentry
57,9,Can add group,3,add_group
58,10,Can change group,3,change_group
59,11,Can delete group,3,delete_group
60,12,Can view group,3,view_group
61,5,Can add permission,2,add_permission
62,6,Can change permission,2,change_permission
63,7,Can delete permission,2,delete_permission
64,8,Can view permission,2,view_permission
65,13,Can add user,4,add_user
66,14,Can change user,4,change_user
67,15,Can delete user,4,delete_user
68,16,Can view user,4,view_user
69,17,Can add content type,5,add_contenttype
70,18,Can change content type,5,change_contenttype
71,19,Can delete content type,5,delete_contenttype
72,20,Can view content type,5,view_contenttype
73,29,Can activate person.,7,activate_person
74,25,Can add Persona,7,add_person
75,26,Can change Persona,7,change_person
76,27,Can delete Persona,7,delete_person
77,28,Can view Persona,7,view_person
78,50,Can add Dirección Persona,13,add_person_address
79,51,Can change Dirección Persona,13,change_person_address
80,52,Can delete Dirección Persona,13,delete_person_address
81,53,Can view Dirección Persona,13,view_person_address
82,46,Can add Correo Electrónico Personas,12,add_person_e_mail
83,47,Can change Correo Electrónico Personas,12,change_person_e_mail
84,48,Can delete Correo Electrónico Personas,12,delete_person_e_mail
85,49,Can view Correo Electrónico Personas,12,view_person_e_mail
86,30,Can add Persona Jurídica,8,add_person_legal
87,31,Can change Persona Jurídica,8,change_person_legal
88,32,Can delete Persona Jurídica,8,delete_person_legal
89,33,Can view Persona Jurídica,8,view_person_legal
90,42,Can add Personal,11,add_person_legal_person_natural
91,43,Can change Personal,11,change_person_legal_person_natural
92,44,Can delete Personal,11,delete_person_legal_person_natural
93,45,Can view Personal,11,view_person_legal_person_natural
94,34,Can add Persona Natural,9,add_person_natural
95,35,Can change Persona Natural,9,change_person_natural
96,36,Can delete Persona Natural,9,delete_person_natural
97,37,Can view Persona Natural,9,view_person_natural
98,38,Can add Teléfono Persona,10,add_person_phone
99,39,Can change Teléfono Persona,10,change_person_phone
100,40,Can delete Teléfono Persona,10,delete_person_phone
101,41,Can view Teléfono Persona,10,view_person_phone
102,91,Can activate estate.,21,activate_estate
103,87,Can add Predio,21,add_estate
104,88,Can change Predio,21,change_estate
105,89,Can delete Predio,21,delete_estate
106,90,Can view Predio,21,view_estate
107,105,Can add Avaluo Predio,25,add_estate_appraisal
108,106,Can change Avaluo Predio,25,change_estate_appraisal
109,107,Can delete Avaluo Predio,25,delete_estate_appraisal
110,108,Can view Avaluo Predio,25,view_estate_appraisal
111,101,Can add Propietario Predio,24,add_estate_person
112,102,Can change Propietario Predio,24,change_estate_person
113,103,Can delete Propietario Predio,24,delete_estate_person
114,104,Can view Propietario Predio,24,view_estate_person
115,96,Can activate realty.,22,activate_realty
116,92,Can add Inmueble,22,add_realty
117,93,Can change Inmueble,22,change_realty
118,94,Can delete Inmueble,22,delete_realty
119,95,Can view Inmueble,22,view_realty
120,97,Can add Predio Inmueble,23,add_realty_estate
121,98,Can change Predio Inmueble,23,change_realty_estate
122,99,Can delete Predio Inmueble,23,delete_realty_estate
123,100,Can view Predio Inmueble,23,view_realty_estate
124,82,Can add Dirección,20,add_address
125,86,Can activate address.,20,address
126,83,Can change Dirección,20,change_address
127,84,Can delete Dirección,20,delete_address
128,85,Can view Dirección,20,view_address
129,58,Can activate charge factor.,14,activate_charge_factor
130,54,Can add Tasa Transacción,14,add_charge_factor
131,55,Can change Tasa Transacción,14,change_charge_factor
132,56,Can delete Tasa Transacción,14,delete_charge_factor
133,57,Can view Tasa Transacción,14,view_charge_factor
134,77,Can add Correo Electrónico,19,add_e_mail
135,78,Can change Correo Electrónico,19,change_e_mail
136,79,Can delete Correo Electrónico,19,delete_e_mail
137,81,Can activate e-mail.,19,e_mail
138,80,Can view Correo Electrónico,19,view_e_mail
139,73,Can add Datos Tasas,18,add_factor_data
140,74,Can change Datos Tasas,18,change_factor_data
141,75,Can delete Datos Tasas,18,delete_factor_data
142,76,Can view Datos Tasas,18,view_factor_data
143,72,Can activate phone.,17,activate_phone
144,68,Can add Teléfono,17,add_phone
145,69,Can change Teléfono,17,change_phone
146,70,Can delete Teléfono,17,delete_phone
147,71,Can view Teléfono,17,view_phone
