,id,state_change_user_id,state_change_date,state,realty_id,estate_id,percentage
49,50,1,2022-04-28 22:01:35.615220+00:00,1,A6N-13N-62-S316,760010100020700370004000000004,100.0000
50,51,1,2022-04-28 22:01:35.619448+00:00,1,A6N-13N-62-S317,760010100020700370004000000004,100.0000
51,52,1,2022-04-28 22:01:35.623667+00:00,1,A6N-13N-62-S318,760010100020700370004000000004,100.0000
52,53,1,2022-04-28 22:01:35.627996+00:00,1,A6N-13N-62-S319,760010100020700370004000000004,100.0000
53,54,1,2022-04-28 22:01:35.632143+00:00,1,A6N-13N-62-S320,760010100020700370004000000004,100.0000
54,55,1,2022-04-28 22:01:35.636289+00:00,1,A6N-13N-62-S321,760010100020700370004000000004,100.0000
55,56,1,2022-04-28 22:01:35.640562+00:00,1,A6N-13N-62-S322,760010100020700370004000000004,100.0000
56,57,1,2022-04-28 22:01:35.645115+00:00,1,A6N-13N-66,760010100020700370004000000004,100.0000
57,58,1,2022-04-28 22:01:35.649286+00:00,1,A6N-13N-68,760010100020700370004000000004,100.0000
58,59,1,2022-04-28 22:01:35.653570+00:00,1,K1-17-37,760010100031300020001000000001,100.0000
59,60,1,2022-04-28 22:01:35.657875+00:00,1,K1-17-43,760010100031300020001000000001,100.0000
60,61,1,2022-04-28 22:01:35.662038+00:00,1,K1-17-47,760010100031300020001000000001,100.0000
61,62,1,2022-04-28 22:01:35.666247+00:00,1,K1-17-53,760010100031300020001000000001,100.0000
62,63,1,2022-04-28 22:01:35.670594+00:00,1,K1-17-57,760010100031300020001000000001,100.0000
63,64,1,2022-04-28 22:01:35.674847+00:00,1,K1-17-65,760010100031300020001000000001,100.0000
64,65,1,2022-04-28 22:01:35.679045+00:00,1,C18-1N-33,760010100031300020001000000001,100.0000
65,66,1,2022-04-28 22:01:35.683248+00:00,1,C18-1N-39,760010100031300020001000000001,100.0000
66,67,1,2022-04-28 22:01:35.687351+00:00,1,C18-1N-41,760010100031300020001000000001,100.0000
67,68,1,2022-04-28 22:01:35.691462+00:00,1,C18-1N-43,760010100031300020001000000001,100.0000
68,69,1,2022-04-28 22:01:35.695819+00:00,1,K1B-30-16,760010100040200230001000000001,100.0000
69,70,1,2022-04-28 22:01:35.699874+00:00,1,K1B-30-34,760010100040200230001000000001,100.0000
70,71,1,2022-04-28 22:01:35.704185+00:00,1,K1B-30-52,760010100040200230001000000001,100.0000
