,state_change_user_id,state_change_date,state,type,use,code,address_id,total_area
56,1,2022-04-06 18:31:50.581631+00:00,1,1,1,A6N-13N-66,A6N-13N-66,120
57,1,2022-04-06 18:31:50.594149+00:00,1,1,1,A6N-13N-68,A6N-13N-68,31
58,1,2022-04-06 18:31:50.622513+00:00,1,1,1,K1-17-37,K1-17-37,116
59,1,2022-04-06 18:31:50.636648+00:00,1,1,1,K1-17-43,K1-17-43,145
60,1,2022-04-06 18:31:50.650091+00:00,1,1,1,K1-17-47,K1-17-47,145
61,1,2022-04-06 18:31:50.662579+00:00,1,1,1,K1-17-53,K1-17-53,145
62,1,2022-04-06 18:31:50.676423+00:00,1,1,1,K1-17-57,K1-17-57,257
63,1,2022-04-06 18:31:50.688810+00:00,1,1,1,K1-17-65,K1-17-65,600
64,1,2022-04-06 18:31:50.703218+00:00,1,3,2,C18-1N-33,C18-1N-33,126
65,1,2022-04-06 18:31:50.716938+00:00,1,3,2,C18-1N-39,C18-1N-39,324
66,1,2022-04-06 18:31:50.731187+00:00,1,3,2,C18-1N-41,C18-1N-41,326
67,1,2022-04-06 18:31:50.749993+00:00,1,3,2,C18-1N-43,C18-1N-43,214
68,1,2022-04-06 18:31:50.769971+00:00,1,3,2,K1B-30-16,K1B-30-16,486
69,1,2022-04-06 18:31:50.788928+00:00,1,3,2,K1B-30-34,K1B-30-34,864
70,1,2022-04-06 18:31:50.830411+00:00,1,3,2,K1B-30-52,K1B-30-52,243
71,1,2022-04-06 18:31:50.844235+00:00,1,3,2,K1B-30-76,K1B-30-76,260
72,1,2022-04-06 18:31:50.864687+00:00,1,3,2,K2C-30-3,K2C-30-3,670
73,1,2022-04-06 18:31:50.876284+00:00,1,3,2,K2C-30-9,K2C-30-9,450
74,1,2022-04-06 18:31:50.889955+00:00,1,3,2,K2C-30-15-B2,K2C-30-15-B2,1117
75,1,2022-04-06 18:31:50.902976+00:00,1,3,2,K2C-30-15-B3,K2C-30-15-B3,372
76,1,2022-04-06 18:31:50.917293+00:00,1,3,2,K2C-30-27,K2C-30-27,484
77,1,2022-04-06 18:31:50.929636+00:00,1,3,2,K2C-30-29,K2C-30-29,639
78,1,2022-04-06 18:31:50.943464+00:00,1,3,2,K2C-30-51,K2C-30-51,320
79,1,2022-04-06 18:31:50.955473+00:00,1,3,2,C30-1B-13,C30-1B-13,70
80,1,2022-04-06 18:31:50.968676+00:00,1,3,2,C30-1B-15-B1,C30-1B-15-B1,82
81,1,2022-04-06 18:31:50.981539+00:00,1,3,2,C30-1B-15-B2,C30-1B-15-B2,131
82,1,2022-04-06 18:31:50.993590+00:00,1,3,2,C30-1B-15-B3,C30-1B-15-B3,132
83,1,2022-04-06 18:31:51.012877+00:00,1,3,2,C30-1B-15-B5,C30-1B-15-B5,121
84,1,2022-04-06 18:31:51.025041+00:00,1,3,2,C30-1B-27,C30-1B-27,505
85,1,2022-04-06 18:31:51.036900+00:00,1,3,2,C30-1B-31,C30-1B-31,480
86,1,2022-04-06 18:31:51.048870+00:00,1,3,2,C31-1B-4,C31-1B-4,986
87,1,2022-04-06 18:31:51.070036+00:00,1,3,2,C31-1B-24,C31-1B-24,679
88,1,2022-04-06 18:31:51.098666+00:00,1,3,2,C31-1B-34,C31-1B-34,722
89,1,2022-04-06 18:31:51.111605+00:00,1,3,2,C31-1B-44,C31-1B-44,513
90,1,2022-04-06 18:31:51.131826+00:00,1,3,2,C31-1B-54,C31-1B-54,464
91,1,2022-04-06 18:31:51.143796+00:00,1,3,2,C31-1B-64,C31-1B-64,416
92,1,2022-04-06 18:31:51.155603+00:00,1,3,2,C31-1B-74,C31-1B-74,454
93,1,2022-04-06 18:31:51.167546+00:00,1,3,2,C31-1B-80,C31-1B-80,288
94,1,2022-04-06 18:31:51.179935+00:00,1,3,2,K2C-29-36,K2C-29-36,304
95,1,2022-04-06 18:31:51.191829+00:00,1,3,2,K1-35-29-B9,K1-35-29-B9,522
96,1,2022-04-06 18:31:51.204721+00:00,1,3,2,K1-35-29-B11,K1-35-29-B11,555
