,state_change_user_id,state_change_date,state,code,accountable_ptr_id,subclass_id,doc_date,start_date,end_date
37,1,2022-04-27 18:22:29.987332+00:00,1,A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,32,2021-10-01,2021-10-01,
38,1,2022-04-27 19:45:49.787672+00:00,1,A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,32,2021-08-01,2021-08-01,
39,1,2022-04-28 16:08:29.551151+00:00,1,A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,32,2020-06-01,2020-06-01,
40,1,2022-04-28 16:33:56.033872+00:00,1,A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,32,2021-09-01,2021-09-01,
41,1,2022-04-28 19:14:47.851989+00:00,1,C31-1B-80^2013-06-01,C31-1B-80^2013-06-01,32,2013-06-01,2013-06-01,
42,1,2022-04-28 19:25:52.249654+00:00,1,K2C-30-15-B3^2013-06-01,K2C-30-15-B3^2013-06-01,32,2013-06-01,2013-06-01,
43,1,2022-04-29 19:00:16.349044+00:00,1,A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,32,2016-12-01,2016-12-01,
44,1,2022-04-29 19:19:43.015132+00:00,1,A6N-13N-62-S109^2021-07-01,A6N-13N-62-S109^2021-07-01,32,2021-07-01,2021-07-01,
45,1,2022-04-29 19:31:11.742194+00:00,1,A6N-13N-62-S110^2021-09-01,A6N-13N-62-S110^2021-09-01,32,2021-09-01,2021-09-01,
46,1,2022-04-29 19:38:14.356610+00:00,1,A6N-13N-62-S114^2021-09-01,A6N-13N-62-S114^2021-09-01,32,2021-09-01,2021-09-01,
47,1,2022-04-29 19:47:55.612230+00:00,1,A6N-13N-62-S201^2021-10-01,A6N-13N-62-S201^2021-10-01,32,2021-10-01,2021-10-01,
48,1,2022-04-29 21:05:42.705829+00:00,1,A6N-13N-62-S202^2021-10-01,A6N-13N-62-S202^2021-10-01,32,2021-10-01,2021-10-01,
49,1,2022-04-29 21:16:26.239044+00:00,1,A6N-13N-62-S203^2022-04-01,A6N-13N-62-S203^2022-04-01,32,2022-04-01,2022-04-01,
50,1,2022-04-29 21:50:53.966216+00:00,1,A6N-13N-62-S204^2021-09-01,A6N-13N-62-S204^2021-09-01,32,2021-09-01,2021-09-01,
51,1,2022-05-03 18:08:40.510057+00:00,1,A6N-13N-62-S207^2004-03-01,A6N-13N-62-S207^2004-03-01,32,2004-03-01,2004-03-01,
52,1,2022-05-03 20:41:38.140700+00:00,1,A6N-13N-62-S205^2020-08-01,A6N-13N-62-S205^2020-08-01,32,2020-08-01,2020-08-01,
53,1,2022-05-03 21:22:46.044989+00:00,1,A6N-13N-62-S208^2020-10-01,A6N-13N-62-S208^2020-10-01,32,2020-10-01,2020-10-01,
54,1,2022-05-03 21:59:50.753971+00:00,1,A6N-13N-62-S209^2006-03-21,A6N-13N-62-S209^2006-03-21,32,2006-03-21,2006-03-21,
55,1,2022-05-05 15:20:09.637009+00:00,1,A6N-13N-62-S210^2017-03-20,A6N-13N-62-S210^2017-03-20,32,2017-03-20,2017-03-20,
56,1,2022-05-05 15:27:38.895836+00:00,1,A6N-13N-62-S211^2017-03-20,A6N-13N-62-S211^2017-03-20,32,2017-03-20,2017-03-20,
57,1,2022-05-05 15:34:44.338627+00:00,1,A6N-13N-62-S212^2011-09-01,A6N-13N-62-S212^2011-09-01,32,2011-09-01,2011-09-01,
58,1,2022-05-05 15:46:00.735963+00:00,1,A6N-13N-62-S214^2018-10-01,A6N-13N-62-S214^2018-10-01,32,2018-10-01,2018-10-01,
59,1,2022-05-05 16:07:39.321318+00:00,1,A6N-13N-62-S217^2018-12-01,A6N-13N-62-S217^2018-12-01,32,2018-12-01,2018-12-01,
60,1,2022-05-05 16:13:31.539911+00:00,1,A6N-13N-62-S219^2004-02-09,A6N-13N-62-S219^2004-02-09,32,2004-02-09,2004-02-09,
61,1,2022-05-05 16:37:25.261825+00:00,1,A6N-13N-62-S221^2018-06-15,A6N-13N-62-S221^2018-06-15,32,2018-06-15,2018-06-15,
