,id,accountable_id,date,value
0,1,K2C-30-15-B3^2022-01-01,2022-01-01,1500000
1,2,C31-1B-64^2022-01-15,2022-01-15,2000000
2,3,K1B-30-16^2022-01-31,2022-01-31,3000000
3,4,C18-1N-33^2022-01-01,2022-01-01,1000000
4,5,A6N-13N-62-S110^2022-01-30,2022-01-30,500000
