state,code,country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinate,numeral_number,numeral_letter,numeral_bis,numeral_bis_complement,numeral_coordinate,height_number,interior_group_type,interior_group_code,interior_type,interior_code,errors
1,C53-1-96,Colombia,Valle del Cauca,CALI,1,53,,,,,1,,,,,96,,,,,[]
1,C53-11A-40-A505,Colombia,Valle del Cauca,CALI,1,53,,,,,11,0,,,,40,,,0,505,[]
1,C53-28F-77,Colombia,Valle del Cauca,CALI,1,53,,,,,28,5,,,,77,,,,,[]
1,C58-2G-69,Colombia,Valle del Cauca,CALI,1,58,,,,,2,6,,,,69,,,,,[]
1,C61N-3A-80,Colombia,Valle del Cauca,CALI,1,61,,,,0,3,0,,,,80,,,,,[]
1,C66-1-159,Colombia,Valle del Cauca,CALI,1,66,,,,,1,,,,,159,,,,,[]
1,C67N-7-19,Colombia,Valle del Cauca,CALI,1,67,,,,0,7,,,13,,19,,,,,[73]
1,C6A-60-28,Colombia,Valle del Cauca,CALI,1,6,0,,,,60,,,,,28,,,,,[]
1,C6A-62A-11,Colombia,Valle del Cauca,CALI,1,6,0,,,,62,0,,,,11,,,,,[]
1,C6N-2N-71,Colombia,Valle del Cauca,Cali,1,6,,False,,0,2,,False,,0,71,,,,,[]
1,C6O-6-89,Colombia,Valle del Cauca,Cali,1,6,,False,,3,6,,False,,,89,,,,,[]
1,C6O-6-89-ENoneA701,Colombia,Valle del Cauca,CALI,1,6,,,,3,6,,,,,89,2,,0,701,[79]
1,C7-81-140-I201,Colombia,Envigado,Medellin,1,7,,,,,81,,,,,140,,,6,201,[]
1,C70-9-49,Colombia,Valle del Cauca,Cali,1,70,,False,,,9,,False,,,49,,,,,[]
1,C77C-10C-16,Colombia,Valle del Cauca,CALI,1,77,2,,,,10,2,,,,16,,,,,[]
1,C83A-3A-95,Colombia,Valle del Cauca,CALI,1,83,0,,,,3,0,,,,95,,,,,[]
1,C9-5-31,Colombia,Valle del Cauca,Cali,1,9,,False,,,5,,False,,,31,,,,,[]
