id,ledger,ledger__date,concept__accountable,account,account__name,concept__date,value,priority,due_value,due_age
2612,FV-00000604,2022-12-01,A6N-13N-62-S202^2022-10-01,13802005,Arrendamientos Inmuebles,2022-12-01,700000,11,700000,"(0, 13)"
1129,CA-00000565,2022-11-01,K1-17-57^2001-09-01,13802005,Arrendamientos Inmuebles,2022-11-01,2730000,10,2730000,"(1, 13)"
1231,CA-00000616,2022-12-01,K1-17-57^2001-09-01,13802005,Arrendamientos Inmuebles,2022-12-01,2730000,10,2730000,"(0, 13)"
1229,CA-00000615,2022-12-01,K1-17-53^2017-06-01,13802005,Arrendamientos Inmuebles,2022-12-01,1930000,10,1930000,"(0, 13)"
1221,CA-00000611,2022-12-01,C18-1N-39^2022-03-01,13802005,Arrendamientos Inmuebles,2022-12-01,1000000,10,1000000,"(0, 13)"
1139,CA-00000570,2022-11-15,K1-17-43^2017-07-15,13802005,Arrendamientos Inmuebles,2022-11-15,1917000,10,1917000,"(0, 29)"
1227,CA-00000614,2022-12-01,K1-17-47^2021-10-01,13802005,Arrendamientos Inmuebles,2022-12-01,1930000,10,1930000,"(0, 13)"
1219,CA-00000610,2022-12-01,C18-1N-33^2021-10-01,13802005,Arrendamientos Inmuebles,2022-12-01,1150000,10,1150000,"(0, 13)"
1121,CA-00000561,2022-11-01,C18-1N-41^2021-02-01,13802005,Arrendamientos Inmuebles,2022-11-01,2900000,10,2900000,"(1, 13)"
1223,CA-00000612,2022-12-01,C18-1N-41^2021-02-01,13802005,Arrendamientos Inmuebles,2022-12-01,2900000,10,2900000,"(0, 13)"
1225,CA-00000613,2022-12-01,K1-17-37^2012-02-01,13802005,Arrendamientos Inmuebles,2022-12-01,1520000,10,1520000,"(0, 13)"
2614,FV-00000605,2022-12-01,A6N-13N-62-S220^2022-11-01,13802005,Arrendamientos Inmuebles,2022-12-01,390000,11,390000,"(0, 13)"
2616,FV-00000606,2022-12-01,A6N-13N-62-S210^2022-10-01,13802005,Arrendamientos Inmuebles,2022-12-01,420000,11,420000,"(0, 13)"
