code,accountable_ptr_id,doc_date,start_date,end_date,monthly_dates
A6N-13N-62-S207^2004-03-01,A6N-13N-62-S207^2004-03-01,2004-03-01,2022-01-01,2022-03-31,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1)]"
A6N-13N-62-S208^2021-10-01,A6N-13N-62-S208^2021-10-01,2021-10-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S209^2006-03-21,A6N-13N-62-S209^2006-03-21,2006-03-21,2021-12-21,,"[datetime.date(2021, 12, 21), datetime.date(2022, 1, 21), datetime.date(2022, 2, 21), datetime.date(2022, 3, 21), datetime.date(2022, 4, 21), datetime.date(2022, 5, 21), datetime.date(2022, 6, 21), datetime.date(2022, 7, 21)]"
A6N-13N-62-S210^2017-03-20,A6N-13N-62-S210^2017-03-20,2017-03-20,2021-12-20,2022-03-19,"[datetime.date(2021, 12, 20), datetime.date(2022, 1, 20), datetime.date(2022, 2, 20)]"
A6N-13N-62-S211^2017-03-08,A6N-13N-62-S211^2017-03-08,2017-03-08,2022-01-08,,"[datetime.date(2022, 1, 8), datetime.date(2022, 2, 8), datetime.date(2022, 3, 8), datetime.date(2022, 4, 8), datetime.date(2022, 5, 8), datetime.date(2022, 6, 8), datetime.date(2022, 7, 8), datetime.date(2022, 8, 8)]"
A6N-13N-62-S212^2011-09-01,A6N-13N-62-S212^2011-09-01,2011-09-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S214^2018-10-01,A6N-13N-62-S214^2018-10-01,2018-10-01,2022-01-01,,"[datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S217^2018-12-01,A6N-13N-62-S217^2018-12-01,2018-12-01,2021-11-01,,"[datetime.date(2021, 11, 1), datetime.date(2021, 12, 1), datetime.date(2022, 1, 1), datetime.date(2022, 2, 1), datetime.date(2022, 3, 1), datetime.date(2022, 4, 1), datetime.date(2022, 5, 1), datetime.date(2022, 6, 1), datetime.date(2022, 7, 1), datetime.date(2022, 8, 1)]"
A6N-13N-62-S219^2004-02-09,A6N-13N-62-S219^2004-02-09,2004-02-09,2022-01-09,,"[datetime.date(2022, 1, 9), datetime.date(2022, 2, 9), datetime.date(2022, 3, 9), datetime.date(2022, 4, 9), datetime.date(2022, 5, 9), datetime.date(2022, 6, 9), datetime.date(2022, 7, 9), datetime.date(2022, 8, 9)]"
A6N-13N-62-S221^2018-06-15,A6N-13N-62-S221^2018-06-15,2018-06-15,2022-01-15,,"[datetime.date(2022, 1, 15), datetime.date(2022, 2, 15), datetime.date(2022, 3, 15), datetime.date(2022, 4, 15), datetime.date(2022, 5, 15), datetime.date(2022, 6, 15), datetime.date(2022, 7, 15), datetime.date(2022, 8, 15)]"
