code,country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinate,numeral_number,numeral_letter,numeral_bis,numeral_bis_complement,numeral_coordinate,height_number,interior_group_type,interior_group_code,interior_type,interior_code,errors
C30-1B-13,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,13,,,,,[]
C30-1B-15-B1,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,15,,,3,1,[]
C30-1B-15-B2,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,15,,,3,2,[]
C30-1B-15-B3,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,15,,,3,3,[]
C30-1B-15-B5,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,15,,,3,5,[]
C30-1B-27,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,27,,,,,[]
C30-1B-31,Colombia,Valle del Cauca,Cali,1,30,,False,,,1,1,False,,,31,,,,,[]
C30-2-15-I1,Colombia,Valle del Cauca,CALI,1,30,,,,,2,,,,,15,,,6,1,[]
C30-2-15-L4,Colombia,Valle del Cauca,CALI,1,30,,,,,2,,,,,15,,,1,4,[]
C30A-11B-43,Colombia,Valle del Cauca,CALI,1,30,0,,,,11,1,,,,43,,,,,[]
C31-1B-24,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,24,,,,,[]
C31-1B-34,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,34,,,,,[]
C31-1B-4,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,4,,,,,[]
C31-1B-44,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,44,,,,,[]
C31-1B-54,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,54,,,,,[]
C31-1B-64,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,64,,,,,[]
C31-1B-74,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,74,,,,,[]
C31-1B-80,Colombia,Valle del Cauca,Cali,1,31,,False,,,1,1,False,,,80,,,,,[]
C31-2-4,Colombia,Valle del Cauca,CALI,1,31,,,,,2,,,,,4,,,,,[]
C31-2-64,Colombia,Valle del Cauca,CALI,1,31,,,,,2,,,,,64,,,,,[]
C34-40B-24,Colombia,Valle del Cauca,Cali,1,34,,False,,,40,1,False,,,24,,,,,[]
C34A-81A-73,Colombia,Valle del Cauca,MEDELLIN,1,34,0,,,,81,0,,,,73,,,,,[]
C37-13B-96,Colombia,Valle del Cauca,CALI,1,37,,,,,13,1,,,,96,,,,,[]
C39-22-5,Colombia,Valle del Cauca,CALI,1,39,,,,,22,,,,,5,,,,,[]
C39-2B-29,Colombia,Valle del Cauca,CALI,1,39,,,,,2,1,,,,29,,,,,[]
C3O-2-136-P14,Colombia,Valle del Cauca,Cali,1,3,,False,,3,2,,False,,,136,,,4,14,[]
C3O-2-140-A301,Colombia,Valle del Cauca,Cali,1,3,,False,,3,2,,False,,,140,,,0,301,[]
C40-3-33,Colombia,Valle del Cauca,CALI,1,40,,,,,3,,,,,33,,,,,[]
C40-3M-33,Colombia,Valle del Cauca,CALI,1,40,,,,,3,13,,,,33,,,,,[]
C40N-3-69,Colombia,Valle del Cauca,Cali,1,40,,False,,0,3,,False,,,69,,,,,[]
C42-94A-15,Colombia,Valle del Cauca,CALI,1,42,,,,,94,0,,,,15,,,,,[]
C42-95A-15,Colombia,Valle del Cauca,Cali,1,42,,False,,,95,0,False,,,15,,,,,[]
C43-109-78,Colombia,Valle del Cauca,CALI,1,43,,,,,109,,,,,78,,,,,[]
C43-109-78-ENoneA502,Colombia,Valle del Cauca,CALI,1,43,,,,,109,,,,,78,2,,0,502,[79]
C44N-4-40,Colombia,Valle del Cauca,CALI,1,44,,,,0,4,,,,,40,,,,,[]
C53-1-96,Colombia,Valle del Cauca,CALI,1,53,,,,,1,,,,,96,,,,,[]
C53-11A-40-A505,Colombia,Valle del Cauca,CALI,1,53,,,,,11,0,,,,40,,,0,505,[]
C53-28F-77,Colombia,Valle del Cauca,CALI,1,53,,,,,28,5,,,,77,,,,,[]
C58-2G-69,Colombia,Valle del Cauca,CALI,1,58,,,,,2,6,,,,69,,,,,[]
C61N-3A-80,Colombia,Valle del Cauca,CALI,1,61,,,,0,3,0,,,,80,,,,,[]
C66-1-159,Colombia,Valle del Cauca,CALI,1,66,,,,,1,,,,,159,,,,,[]
C67N-7-19,Colombia,Valle del Cauca,CALI,1,67,,,,0,7,,,13,,19,,,,,[73]
C6A-60-28,Colombia,Valle del Cauca,CALI,1,6,0,,,,60,,,,,28,,,,,[]
C6A-62A-11,Colombia,Valle del Cauca,CALI,1,6,0,,,,62,0,,,,11,,,,,[]
C6N-2N-71,Colombia,Valle del Cauca,Cali,1,6,,False,,0,2,,False,,0,71,,,,,[]
C6O-6-89,Colombia,Valle del Cauca,Cali,1,6,,False,,3,6,,False,,,89,,,,,[]
C6O-6-89-ENoneA701,Colombia,Valle del Cauca,CALI,1,6,,,,3,6,,,,,89,2,,0,701,[79]
C7-81-140-I201,Colombia,Envigado,Medellin,1,7,,,,,81,,,,,140,,,6,201,[]
C70-9-49,Colombia,Valle del Cauca,Cali,1,70,,False,,,9,,False,,,49,,,,,[]
C77C-10C-16,Colombia,Valle del Cauca,CALI,1,77,2,,,,10,2,,,,16,,,,,[]
C83A-3A-95,Colombia,Valle del Cauca,CALI,1,83,0,,,,3,0,,,,95,,,,,[]
C9-5-31,Colombia,Valle del Cauca,Cali,1,9,,False,,,5,,False,,,31,,,,,[]
C99-14-3,Colombia,Valle del Cauca,Cali,1,99,,False,,,14,,False,,,3,,,,,[]
D57-4-49-A1103,Colombia,Valle del Cauca,CALI,3,57,,,,,4,,,,,49,,,0,1103,[]
K1-17-37,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,37,,,,,[]
K1-17-43,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,43,,,,,[]
K1-17-47,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,47,,,,,[]
K1-17-53,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,53,,,,,[]
K1-17-57,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,57,,,,,[]
K1-17-65,Colombia,Valle del Cauca,Cali,2,1,,False,,,17,,False,,,65,,,,,[]
K1-31-84,Colombia,Valle del Cauca,Cali,2,1,,False,,,31,,False,,,84,,,,,[]
K1-35-29,Colombia,Valle del Cauca,Cali,2,1,,False,,,35,,False,,,29,,,,,[]
K1-35-29-B11,Colombia,Valle del Cauca,Cali,2,1,,False,,,35,,False,,,29,,,3,11,[]
K1-35-29-B9,Colombia,Valle del Cauca,Cali,2,1,,False,,,35,,False,,,29,,,3,9,[]
K1-59B-21B603,Colombia,Valle del Cauca,CALI,2,1,,,,,59,1,,,,21,0,603,,,"[84, 85]"
K10C-17B-15,Colombia,Valle del Cauca,CALI,2,10,2,,,,17,1,,,,15,,,,,[]
K11-7-85,Colombia,Valle del Cauca,Cali,2,11,,False,,,7,,False,,,85,,,,,[]
K14B-14-50,Colombia,Valle del Cauca,CALI,2,14,1,,,,14,,,,,50,,,,,[]
