code,subclass_id,accountable_ptr_id,doc_date,start_date,end_date,errors
A6N-13N-62-S207^2004-03-01,33,A6N-13N-62-S207^2004-03-01,2004-03-01,2004-03-01,,[139]
A6N-13N-62-S205^2020-08-01,33,A6N-13N-62-S205^2020-08-01,2020-08-01,2020-08-01,,[139]
A6N-13N-62-S208^2020-10-01,33,A6N-13N-62-S208^2020-10-01,2020-10-01,2020-10-01,,[139]
A6N-13N-62-S209^2006-03-21,33,A6N-13N-62-S209^2006-03-21,2006-03-21,2006-03-21,,[139]
A6N-13N-62-S210^2017-03-20,33,A6N-13N-62-S210^2017-03-20,2017-03-20,2017-03-20,,[139]
A6N-13N-62-S211^2017-03-20,33,A6N-13N-62-S211^2017-03-20,2017-03-20,2017-03-20,,[139]
A6N-13N-62-S212^2011-09-01,33,A6N-13N-62-S212^2011-09-01,2011-09-01,2011-09-01,,[139]
A6N-13N-62-S214^2018-10-01,33,A6N-13N-62-S214^2018-10-01,2018-10-01,2018-10-01,,[139]
A6N-13N-62-S217^2018-12-01,33,A6N-13N-62-S217^2018-12-01,2018-12-01,2018-12-01,,[139]
A6N-13N-62-S219^2004-02-09,33,A6N-13N-62-S219^2004-02-09,2004-02-09,2004-02-09,,[139]
A6N-13N-62-S221^2018-06-15,33,A6N-13N-62-S221^2018-06-15,2018-06-15,2018-06-15,,"[137, 139]"
A6N-13N-62-S301^2021-08-01,33,A6N-13N-62-S301^2021-08-01,2021-08-01,2021-08-01,,[139]
A6N-13N-62-S302^2021-08-01,33,A6N-13N-62-S302^2021-08-01,2021-08-01,2021-08-01,,[139]
A6N-13N-62-S303^2022-03-01,33,A6N-13N-62-S303^2022-03-01,2022-03-01,2022-03-01,,[139]
A6N-13N-62-S304^2022-04-01,33,A6N-13N-62-S304^2022-04-01,2022-04-01,2022-04-01,,[139]
A6N-13N-62-S305^2021-02-01,33,A6N-13N-62-S305^2021-02-01,2021-02-01,2021-02-01,,[139]
A6N-13N-62-S306^2018-06-01,33,A6N-13N-62-S306^2018-06-01,2018-06-01,2018-06-01,,[139]
A6N-13N-62-S308^2022-03-01,33,A6N-13N-62-S308^2022-03-01,2022-03-01,2022-03-01,,[139]
A6N-13N-62-S309^2022-03-01,33,A6N-13N-62-S309^2022-03-01,2022-03-01,2022-03-01,,[139]
A6N-13N-62-S311^2021-11-01,33,A6N-13N-62-S311^2021-11-01,2021-11-01,2021-11-01,,[139]
A6N-13N-62-S312^2007-06-01,33,A6N-13N-62-S312^2007-06-01,2007-06-01,2007-06-01,,[139]
A6N-13N-62-S314^2019-06-01,33,A6N-13N-62-S314^2019-06-01,2019-06-01,2019-06-01,,[139]
