,id,state_change_user_id,state_change_date,state,factor_id,validity_date,amount,percentage,in_instance_attribute
0,1,1,2022-12-13 20:51:56.724357+00:00,1,IVA,2010-01-01,0,19.000,
1,2,1,2022-12-13 20:51:56.724426+00:00,1,Base,2010-01-01,0,100.000,
2,3,1,2022-12-13 20:51:56.724458+00:00,1,Base + IVA,2010-01-01,0,119.000,
3,4,1,2022-12-13 20:51:56.724484+00:00,1,Retefuente,2010-01-01,0,3.500,
4,5,1,2022-12-13 20:51:56.724509+00:00,1,Base + IVA - Retefuente,2010-01-01,0,115.500,
5,6,1,2022-12-13 20:51:56.724533+00:00,1,Base - Retefuente,2010-01-01,0,96.500,
6,7,1,2022-12-15 21:26:14.043750+00:00,1,Base + IVA - Retefuente - Reteiva,2010-01-01,0,112.650,
7,8,1,2022-12-15 21:26:23.374266+00:00,1,Reteiva,2010-01-01,0,2.850,
