,state_change_user_id,state_change_date,state,code,name
0,1,2022-10-10 17:57:01.382930+00:00,1,1,activo
1,1,2022-10-10 17:57:01.382954+00:00,1,11,disponible
2,1,2022-10-10 17:57:01.382963+00:00,1,1105,caja
3,1,2022-10-10 17:57:01.382969+00:00,1,110505,caja general
4,1,2022-10-10 17:57:01.382975+00:00,1,110510,cajas menores
5,1,2022-10-10 17:57:01.382981+00:00,1,110515,moneda extranjera
6,1,2022-10-10 17:57:01.382987+00:00,1,1110,bancos
7,1,2022-10-10 17:57:01.382994+00:00,1,111005,moneda nacional
8,1,2022-10-10 17:57:01.382999+00:00,1,111010,moneda extranjera
9,1,2022-10-10 17:57:01.383005+00:00,1,1115,remesas en transito
10,1,2022-10-10 17:57:01.383012+00:00,1,111505,moneda nacional
11,1,2022-10-10 17:57:01.383018+00:00,1,111510,moneda extranjera
12,1,2022-10-10 17:57:01.383026+00:00,1,1120,cuentas de ahorro
13,1,2022-10-10 17:57:01.383032+00:00,1,112005,bancos
14,1,2022-10-10 17:57:01.383038+00:00,1,112010,corporaciones de ahorro y vivienda
15,1,2022-10-10 17:57:01.383045+00:00,1,112015,organismos cooperativos financieros
16,1,2022-10-10 17:57:01.383051+00:00,1,1125,fondos
17,1,2022-10-10 17:57:01.383057+00:00,1,112505,rotatorios moneda nacional
18,1,2022-10-10 17:57:01.383062+00:00,1,112510,rotatorios moneda extranjera
19,1,2022-10-10 17:57:01.383068+00:00,1,112515,especiales moneda nacional
20,1,2022-10-10 17:57:01.383075+00:00,1,112520,especiales moneda extranjera
21,1,2022-10-10 17:57:01.383080+00:00,1,112525,de amortizacion moneda nacional
22,1,2022-10-10 17:57:01.383086+00:00,1,112530,de amortizacion moneda extranjera
23,1,2022-10-10 17:57:01.383093+00:00,1,12,inversiones
24,1,2022-10-10 17:57:01.383098+00:00,1,1205,acciones
25,1,2022-10-10 17:57:01.383105+00:00,1,120505,"agricultura, ganaderia, caza y silvicultura"
26,1,2022-10-10 17:57:01.383110+00:00,1,120510,pesca
27,1,2022-10-10 17:57:01.383116+00:00,1,120515,explotacion de minas y canteras
28,1,2022-10-10 17:57:01.383122+00:00,1,120520,industria manufacturera
29,1,2022-10-10 17:57:01.383128+00:00,1,120525,"suministro de electricidad, gas y agua"
30,1,2022-10-10 17:57:01.383134+00:00,1,120530,construccion
31,1,2022-10-10 17:57:01.383139+00:00,1,120535,comercio al por mayor y al por menor
32,1,2022-10-10 17:57:01.383145+00:00,1,120540,hoteles y restaurantes
