,id,state_change_user_id,state_change_date,state,factor_id,validity_date,amount,percentage,in_instance_attribute
0,1,1,2022-10-26 17:04:40.715535+00:00,1,IVA,2020-01-01,0,19.000,
1,2,1,2022-10-26 17:04:40.715617+00:00,1,Base,2020-01-01,0,100.000,
2,3,1,2022-10-26 17:04:40.715647+00:00,1,Base + IVA,1970-01-01,0,119.000,
3,4,1,2022-10-26 17:04:40.715673+00:00,1,Retefuente,1970-01-01,0,3.500,
4,5,1,2022-10-26 17:04:40.715699+00:00,1,Base + IVA - Retefuente,1970-01-01,0,115.500,
