,id,state_change_user_id,state_change_date,state,factor_id,validity_date,amount,percentage,in_instance_attribute
0,1,1,2022-11-22 19:51:12.270397+00:00,1,IVA,2010-01-01,0,19.000,
1,2,1,2022-11-22 19:51:12.270467+00:00,1,Base,2010-01-01,0,100.000,
2,3,1,2022-11-22 19:51:12.270549+00:00,1,Base + IVA,2010-01-01,0,119.000,
3,4,1,2022-11-22 19:51:12.270591+00:00,1,Retefuente,2010-01-01,0,3.500,
4,5,1,2022-11-22 19:51:12.270646+00:00,1,Base + IVA - Retefuente,2010-01-01,0,115.500,
5,6,1,2022-11-22 19:51:12.270678+00:00,1,Base - Retefuente,2010-01-01,0,96.500,
