,state_change_user_id,state_change_date,state,code,accountable_id,transaction_type_id,date,value,registered
27,1,2022-10-12 17:44:44.538969+00:00,1,Facturacion Arriendo sin IVA^2022-08-01_A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,Facturacion Arriendo sin IVA,2022-08-01,940000,False
28,1,2022-10-12 17:44:44.538987+00:00,1,Facturacion Arriendo sin IVA^2022-09-01_A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,Facturacion Arriendo sin IVA,2022-09-01,940000,False
29,1,2022-10-12 17:44:44.539004+00:00,1,Facturacion Arriendo sin IVA^2022-10-01_A6N-13N-62-S102^2021-10-01,A6N-13N-62-S102^2021-10-01,Facturacion Arriendo sin IVA,2022-10-01,993000,False
30,1,2022-10-12 17:44:44.539022+00:00,1,Facturacion Arriendo sin IVA^2022-01-01_A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,Facturacion Arriendo sin IVA,2022-01-01,790000,False
31,1,2022-10-12 17:44:44.539040+00:00,1,Facturacion Arriendo sin IVA^2022-02-01_A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,Facturacion Arriendo sin IVA,2022-02-01,790000,False
32,1,2022-10-12 17:44:44.539057+00:00,1,Facturacion Arriendo sin IVA^2022-03-01_A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,Facturacion Arriendo sin IVA,2022-03-01,790000,False
33,1,2022-10-12 17:44:44.539075+00:00,1,Facturacion Arriendo sin IVA^2022-04-01_A6N-13N-62-S103^2020-06-01,A6N-13N-62-S103^2020-06-01,Facturacion Arriendo sin IVA,2022-04-01,763667,False
34,1,2022-10-12 17:44:44.539093+00:00,1,Facturacion Arriendo sin IVA^2022-05-01_A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,Facturacion Arriendo sin IVA,2022-05-01,840000,False
35,1,2022-10-12 17:44:44.539111+00:00,1,Facturacion Arriendo sin IVA^2022-06-01_A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,Facturacion Arriendo sin IVA,2022-06-01,840000,False
36,1,2022-10-12 17:44:44.539128+00:00,1,Facturacion Arriendo sin IVA^2022-07-01_A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,Facturacion Arriendo sin IVA,2022-07-01,840000,False
37,1,2022-10-12 17:44:44.539146+00:00,1,Facturacion Arriendo sin IVA^2022-08-01_A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,Facturacion Arriendo sin IVA,2022-08-01,840000,False
38,1,2022-10-12 17:44:44.539163+00:00,1,Facturacion Arriendo sin IVA^2022-09-01_A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,Facturacion Arriendo sin IVA,2022-09-01,840000,False
39,1,2022-10-12 17:44:44.539181+00:00,1,Facturacion Arriendo sin IVA^2022-10-01_A6N-13N-62-S103^2022-05-01,A6N-13N-62-S103^2022-05-01,Facturacion Arriendo sin IVA,2022-10-01,840000,False
40,1,2022-10-12 17:44:44.539199+00:00,1,Facturacion Arriendo sin IVA^2022-01-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-01-01,840000,False
41,1,2022-10-12 17:44:44.539229+00:00,1,Facturacion Arriendo sin IVA^2022-02-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-02-01,840000,False
42,1,2022-10-12 17:44:44.539259+00:00,1,Facturacion Arriendo sin IVA^2022-03-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-03-01,840000,False
43,1,2022-10-12 17:44:44.539280+00:00,1,Facturacion Arriendo sin IVA^2022-04-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-04-01,840000,False
44,1,2022-10-12 17:44:44.539299+00:00,1,Facturacion Arriendo sin IVA^2022-05-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-05-01,840000,False
45,1,2022-10-12 17:44:44.539317+00:00,1,Facturacion Arriendo sin IVA^2022-06-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-06-01,840000,False
46,1,2022-10-12 17:44:44.539335+00:00,1,Facturacion Arriendo sin IVA^2022-07-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-07-01,840000,False
47,1,2022-10-12 17:44:44.539353+00:00,1,Facturacion Arriendo sin IVA^2022-08-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-08-01,890000,False
48,1,2022-10-12 17:44:44.539371+00:00,1,Facturacion Arriendo sin IVA^2022-09-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-09-01,890000,False
49,1,2022-10-12 17:44:44.539389+00:00,1,Facturacion Arriendo sin IVA^2022-10-01_A6N-13N-62-S104^2021-08-01,A6N-13N-62-S104^2021-08-01,Facturacion Arriendo sin IVA,2022-10-01,890000,False
50,1,2022-10-12 17:44:44.539408+00:00,1,Facturacion Arriendo sin IVA^2022-01-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-01-01,850000,False
51,1,2022-10-12 17:44:44.539429+00:00,1,Facturacion Arriendo sin IVA^2022-02-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-02-01,850000,False
52,1,2022-10-12 17:44:44.539447+00:00,1,Facturacion Arriendo sin IVA^2022-03-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-03-01,850000,False
53,1,2022-10-12 17:44:44.539465+00:00,1,Facturacion Arriendo sin IVA^2022-04-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-04-01,850000,False
54,1,2022-10-12 17:44:44.539483+00:00,1,Facturacion Arriendo sin IVA^2022-05-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-05-01,850000,False
55,1,2022-10-12 17:44:44.539501+00:00,1,Facturacion Arriendo sin IVA^2022-06-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-06-01,850000,False
56,1,2022-10-12 17:44:44.539519+00:00,1,Facturacion Arriendo sin IVA^2022-07-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-07-01,850000,False
57,1,2022-10-12 17:44:44.539537+00:00,1,Facturacion Arriendo sin IVA^2022-08-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-08-01,850000,False
58,1,2022-10-12 17:44:44.539554+00:00,1,Facturacion Arriendo sin IVA^2022-09-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-09-01,890000,False
59,1,2022-10-12 17:44:44.539572+00:00,1,Facturacion Arriendo sin IVA^2022-10-01_A6N-13N-62-S105^2021-09-01,A6N-13N-62-S105^2021-09-01,Facturacion Arriendo sin IVA,2022-10-01,890000,False
60,1,2022-10-12 17:44:44.539590+00:00,1,Facturacion Arriendo sin IVA^2022-01-01_A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,Facturacion Arriendo sin IVA,2022-01-01,638000,False
61,1,2022-10-12 17:44:44.539608+00:00,1,Facturacion Arriendo sin IVA^2022-02-01_A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,Facturacion Arriendo sin IVA,2022-02-01,638000,False
62,1,2022-10-12 17:44:44.539626+00:00,1,Facturacion Arriendo sin IVA^2022-03-01_A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,Facturacion Arriendo sin IVA,2022-03-01,638000,False
63,1,2022-10-12 17:44:44.539644+00:00,1,Facturacion Arriendo sin IVA^2022-04-01_A6N-13N-62-S108^2016-12-01,A6N-13N-62-S108^2016-12-01,Facturacion Arriendo sin IVA,2022-04-01,638000,False
