,id,state_change_user_id,state_change_date,state,factor_id,validity_date,amount,percentage,in_instance_attribute
0,1,1,2022-09-29 19:41:50.791997+00:00,1,IVA,2022-01-01,0,19.000,
1,2,1,2022-09-29 19:41:50.792041+00:00,1,Base,2022-01-01,0,100.000,
