fecha_registro,caja,base,retefuente,iva,reteiva,total,concepto,descripcion
2022-01-27,Efectivo,150000,0,28500,0,178500,Canon Mensual Arriendo Inmueble^2022-01-01_K1-17-53^2017-06-01,Descuento por dano electrico prolongado.
2022-02-07,Efectivo,11667,0,0,0,11667,Canon Mensual Arriendo Inmueble^2022-02-08_A6N-13N-62-S303^2022-03-01,Ajuste de cargo automatico a valor real.
2022-03-09,003-193-745,250000,0,47500,0,297500,Canon Mensual Arriendo Inmueble^2022-01-01_K1-17-37^2012-02-01,Descuento por dano electrico prolongado.
2022-03-28,Efectivo,20323,0,0,0,20323,Canon Mensual Arriendo Inmueble^2022-03-28_A6N-13N-62-S304^2022-04-01,Ajuste de cargo automatico a valor real.
2022-09-28,003-193-745,19000,0,0,0,19000,Canon Mensual Arriendo Inmueble^2022-09-01_C18-1N-33^2021-10-01,Cartera castigada de reteiva descontado de dificil recaudo.
2022-10-10,003-193-745,270,0,0,0,270,Canon Mensual Arriendo Inmueble^2022-10-01_K1-17-47^2021-10-01,Cartera castigada por menor valor de dificil reacudo.
