national_number_1,national_number_2,national_number_3,address,total_area
7600101000,2070037000,4000000004,A6N-13N-62,2107
7600101000,3130002000,1000000001,C18-1N-39,2398
7600101000,4020023000,1000000001,K2C-30-3,7164
7600101000,4020023000,2000000002,K1B-30-76,1135
7600101000,4020023000,3000000003,C31-1B-34,441
7600101000,4020023000,4000000004,C31-1B-54,362
7600101000,4020023000,5000000005,C31-1B-64,375
7600101000,4020023000,6000000006,K2C-30-29,306
7600101000,4010005000,6000000006,K2C-29-36,303
7600101000,4170010001,0000000010,K1-35-29,1077
7600101000,2050004000,7900030133,A11N-7N-201-A103,246
7600101000,2050004000,7900030058,A11N-7N-201-P28,-9999
7600101000,2050004000,7900030059,A11N-7N-201-P29,-9999
7600101000,2050004000,7900030091,A11N-7N-201-P61,-9999
7600101000,2050004000,7900030126,A11N-7N-201-D22,-9999
7600101000,2030003000,4900020037,C3O-2-140-A301,-9999
7600101000,2030003000,4900020032,C3O-2-136-P14,-9999
