code,accountable_ptr_id,doc_date,start_date,end_date,concept_formset_dict
A6N-13N-62-S111^2021-04-01,A6N-13N-62-S111^2021-04-01,2021-04-01,2022-01-01,2022-03-31,"[{'accountable': <Lease_Realty: A6N-13N-62-S111^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S111^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S111^2021-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 677419}]"
A6N-13N-62-S111^2022-07-01,A6N-13N-62-S111^2022-07-01,2022-07-01,2022-06-25,,"[{'accountable': <Lease_Realty: A6N-13N-62-S111^2022-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 25), 'value': 130000}, {'accountable': <Lease_Realty: A6N-13N-62-S111^2022-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S111^2022-07-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 650000}]"
A6N-13N-62-S112^2015-04-01,A6N-13N-62-S112^2015-04-01,2015-04-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 560000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 560000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 560000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 605000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 605000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 605000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 605000}, {'accountable': <Lease_Realty: A6N-13N-62-S112^2015-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 605000}]"
A6N-13N-62-S114^2021-09-01,A6N-13N-62-S114^2021-09-01,2021-09-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 530000}, {'accountable': <Lease_Realty: A6N-13N-62-S114^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 530000}]"
A6N-13N-62-S201^2021-10-01,A6N-13N-62-S201^2021-10-01,2021-10-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 830000}, {'accountable': <Lease_Realty: A6N-13N-62-S201^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 830000}]"
A6N-13N-62-S202^2021-10-01,A6N-13N-62-S202^2021-10-01,2021-10-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S202^2021-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 700000}]"
A6N-13N-62-S203^2020-10-01,A6N-13N-62-S203^2020-10-01,2020-10-01,2022-01-01,2022-01-31,"[{'accountable': <Lease_Realty: A6N-13N-62-S203^2020-10-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 600000}]"
A6N-13N-62-S203^2022-04-01,A6N-13N-62-S203^2022-04-01,2022-04-01,2022-04-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S203^2022-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S203^2022-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S203^2022-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S203^2022-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 700000}, {'accountable': <Lease_Realty: A6N-13N-62-S203^2022-04-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 700000}]"
A6N-13N-62-S204^2021-09-01,A6N-13N-62-S204^2021-09-01,2021-09-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 650000}, {'accountable': <Lease_Realty: A6N-13N-62-S204^2021-09-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 650000}]"
A6N-13N-62-S205^2020-08-01,A6N-13N-62-S205^2020-08-01,2020-08-01,2022-01-01,,"[{'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 1, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 2, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 3, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 4, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 5, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 6, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 7, 1), 'value': 750000}, {'accountable': <Lease_Realty: A6N-13N-62-S205^2020-08-01>, 'transaction_type': <Transaction: Arriendo Inmueble sin IVA>, 'date': datetime.date(2022, 8, 1), 'value': 830000}]"
