class,ledger,account,value,concept
,,91150505,715000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
,,28150505,-715000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
,,11100505,785000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
,,11100505,215000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,13802005,-785000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
,,13502010,-267500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,91150505,785000,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
,,28150505,-732500,Mensualidad Arriendo Inmueble^2022-1-1_K2C-30-15-B3^2022-01-01
,,11100505,1000000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,13802005,-982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,13502010,-17500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,91150505,982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,28150505,-982500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,11100505,517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,11100505,482500,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
,,13802005,-517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,13802005,-250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
,,13502010,-285000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
,,91150505,517500,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,91150505,250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
,,28150505,-465000,Mensualidad Arriendo Inmueble^2022-02-01_K2C-30-15-B3^2022-01-01
,,28150505,-250000,Mensualidad Arriendo Inmueble^2022-03-01_K2C-30-15-B3^2022-01-01
