class,code,name
PUC,1340,promesas de compra venta
PUC,134005,de bienes raices
PUC,134010,de maquinaria y equipo
PUC,134015,de flota y equipo de transporte
PUC,134020,de flota y equipo aereo
PUC,134025,de flota y equipo ferreo
PUC,134030,de flota y equipo fluvial y/o maritimo
PUC,134035,de semovientes
PUC,134095,de otros bienes
PUC,1345,ingresos por cobrar
PUC,134505,dividendos y/o participaciones
PUC,134510,intereses
PUC,134515,comisiones
PUC,134520,honorarios
PUC,134525,servicios
PUC,134530,arrendamientos
PUC,134535,cert por cobrar
PUC,134595,otros
PUC,1350,retencion sobre contratos
PUC,135005,de construccion
PUC,135010,de prestacion de servicios
PUC,135095,otros
PUC,1355,anticipo de impuestos y contribuciones o saldos a favor
PUC,135505,anticipo de impuestos de renta y complementarios
PUC,135510,anticipo de impuestos de industria y comercio
PUC,135515,retencion en la fuente
PUC,135517,impuesto a las ventas retenido
PUC,135518,impuesto de industria y comercio retenido
PUC,135520,sobrantes en liquidacion privada de impuestos
PUC,135525,contribuciones
PUC,135530,impuestos descontables
PUC,135595,otros
PUC,1360,reclamaciones
PUC,136005,a compañias aseguradoras
PUC,136010,a transportadores
PUC,136015,por tiquetes aereos
PUC,136095,otras
PUC,1365,cuentas por cobrar a trabajadores
PUC,136505,vivienda
PUC,136510,vehiculos
PUC,136515,educacion
PUC,136520,"medicos, odontologicos y similares"
PUC,136525,calamidad domestica
PUC,136530,responsabilidades
PUC,136595,otros
PUC,1370,prestamos a particulares
PUC,137005,con garantia real
PUC,137010,con garantia personal
PUC,1380,deudores varios
PUC,138005,depositarios
PUC,138010,comisionistas de bolsas
PUC,138015,fondo de inversion
PUC,138020,cuentas por cobrar de terceros
PUC,138025,pagos por cuenta de terceros
PUC,138030,fondos de inversion social
PUC,138095,otros
PUC,1385,derechos de recompra de cartera negociada
PUC,1390,deudas de dificil cobro
PUC,1399,provisiones
PUC,139905,clientes
PUC,139910,cuentas corrientes comerciales
PUC,139915,cuentas por cobrar a casa matriz
PUC,139920,cuentas por cobrar a vinculados economicos
PUC,139925,cuentas por cobrar a socios y accionistas
PUC,139930,anticipos y avances
PUC,139932,cuentas de operacion conjunta
PUC,139935,depositos
PUC,139940,promesas de compraventa
PUC,139945,ingresos por cobrar
PUC,139950,retencion sobre contratos
PUC,139955,reclamaciones
PUC,139960,cuentas por cobrar a trabajadores
PUC,139965,prestamos a particulares
PUC,139975,deudores varios
PUC,139980,derechos de recompra de cartera negociada
PUC,14,inventarios
PUC,1405,materias primas
PUC,140599,ajustes por inflacion
PUC,1410,productos en proceso
PUC,141099,ajustes por inflacion
PUC,1415,obras de construccion en curso
PUC,141599,ajustes por inflacion
PUC,1417,obras de urbanismo
PUC,141799,ajustes por inflacion
PUC,1420,contratos en ejecucion
PUC,142099,ajustes por inflacion
PUC,1425,cultivos en desarrollo
PUC,142599,ajustes por inflacion
PUC,1430,productos terminados
PUC,143005,productos manufacturados
PUC,143010,productos extraidos y/o procesados
PUC,143015,productos agricolas y forestales
PUC,143020,subproductos
PUC,143025,productos de pesca
PUC,143099,ajustes por inflacion
PUC,1435,mercancias no fabricadas por la empresa
PUC,143599,ajustes por inflacion
PUC,1440,bienes raices para la venta
PUC,144099,ajustes por inflacion
PUC,1445,semovientes
PUC,144505,especies mayores
PUC,144510,especies menores
PUC,144599,ajustes por inflacion
PUC,1450,terrenos
PUC,145005,por urbanizar
PUC,145010,urbanizados por construir
PUC,145099,ajustes por inflacion
PUC,1455,"materiales, repuestos y accesorios"
PUC,145505,combustibles y lubricantes
PUC,145510,abonos y fertilizantes
PUC,145515,semillas terminadas
PUC,145520,fungicidas y herbicidas
PUC,145525,materiales y repuestos
PUC,145530,loza y cristaleria
PUC,145535,herramientas
PUC,145540,medicinas
PUC,145545,elementos hospitalarios
PUC,145550,instrumental quirurgico
PUC,145555,dotacion y suministro a trabajadores
PUC,145560,elementos de roperia y lenceria
PUC,145595,otros
PUC,145599,ajustes por inflacion
PUC,1460,envases y empaques
PUC,146099,ajustes por inflacion
PUC,1465,inventarios en transito
PUC,146599,ajustes por inflacion
PUC,1499,provisiones
PUC,149905,para obsolescencia
PUC,149910,para diferencia de inventario fisico
PUC,149915,para perdidas de inventarios
PUC,149920,lifo
PUC,15,propiedades planta y equipo
PUC,1504,terrenos
PUC,150405,urbanos
PUC,150410,rurales
PUC,150499,ajustes por inflacion
PUC,1506,materiales proyectos petroleros
PUC,150605,tuberias y equipo
PUC,150610,costos de importacion materiales
PUC,150615,proyectos de construccion
PUC,150699,ajustes por inflacion
PUC,1508,construcciones en curso
PUC,150805,construcciones y edificaciones
PUC,150810,acueductos plantas y redes
PUC,150815,vias de comunicacion
PUC,150820,pozos artesianos
PUC,150825,proyectos de exploracion
PUC,150830,proyectos de desarrollo
PUC,150899,ajustes por inflacion
PUC,1512,maquinaria y equipos en montaje
PUC,151205,maquinaria y equipo
PUC,151210,equipo de oficina
PUC,151215,equipo de computacion y comunicacion
PUC,151220,equipo medico-cientifico
PUC,151225,equipo de hoteles y restaurantes
PUC,151230,flota y equipo de transporte
PUC,151235,flota y equipo fluvial y/o maritimo
PUC,151240,flota y equipo aereo
PUC,151245,flota y equipo ferreo
PUC,151250,plantas y redes
PUC,151299,ajustes por inflacion
PUC,1516,construcciones y edificaciones
PUC,151605,edificios
PUC,151610,oficinas
PUC,151615,almacenes
PUC,151620,fabricas y plantas industriales
PUC,151625,salas de exhibicion y ventas
PUC,151630,cafeteria y casinos
PUC,151635,silos
PUC,151640,invernaderos
PUC,151645,casetas y campamentos
PUC,151650,instalaciones agropecuarias
PUC,151655,viviendas para empleados y obreros
PUC,151660,terminal de buses y taxis
PUC,151663,terminal maritimo
PUC,151665,terminal ferreo
PUC,151670,"parqueaderos, garajes y depositos"
PUC,151675,hangares
PUC,151680,bodegas
PUC,151695,otros
PUC,151699,ajustes por inflacion
PUC,1520,maquinaria y equipo
PUC,152099,ajustes por inflacion
PUC,1524,equipo de oficina
PUC,152405,muebles y enseres
PUC,152410,equipos
PUC,152495,otros
PUC,152499,ajustes por inflacion
PUC,1528,equipo de computacion y comunicacion
PUC,152805,equipos de procesamiento de datos
PUC,152810,equipos de telecomunicaciones
PUC,152815,equipos de radio
PUC,152820,satelites y antenas
PUC,152825,lineas telefonicas
PUC,152895,otros
PUC,152899,ajustes por inflacion
PUC,1532,equipo medico - cientifico
PUC,153205,medico
PUC,153210,odontologico
PUC,153215,laboratorio
PUC,153220,instrumental
PUC,153295,otros
PUC,153299,ajustes por inflacion
PUC,1536,equipo de hoteles y restaurantes
PUC,153605,de habitaciones
PUC,153610,de comestibles y bebidas
PUC,153695,otros
PUC,153699,ajustes por inflacion
PUC,1540,flota y equipo de transporte
PUC,154005,"autos, camionetas y camperos"
PUC,154008,"camiones, volquetas y furgones"
PUC,154010,tractomulas y remolques
PUC,154015,buses y busetas
PUC,154017,recolectores y contenedores
PUC,154020,montacargas
PUC,154025,palas y gruas
PUC,154030,motocicletas
PUC,154035,bicicletas
PUC,154040,estibas y carretas
PUC,154045,bandas transportadoras
PUC,154095,otros
PUC,154099,ajustes por inflacion
PUC,1544,flota y equipo fluvial y/o maritimo
PUC,154405,buques
PUC,154410,lanchas
PUC,154415,remolcadoras
PUC,154420,botes
PUC,154425,boyas
PUC,154430,amarres
PUC,154435,contenedores y chassises
PUC,154440,gabarras
PUC,154495,otros
PUC,154499,ajustes por inflacion
PUC,1548,flota y equipo aereo
PUC,154805,aviones
PUC,154810,avionetas
PUC,154815,helicopteros
PUC,154820,turbinas y motores
PUC,154825,manuales de entrenamiento personal tecnico
PUC,154830,equipos de vuelo
PUC,154895,otros
PUC,154899,ajustes por inflacion
PUC,1552,flota y equipo ferreo
PUC,155205,locomotoras
PUC,155210,vagones
PUC,155215,redes ferreas
PUC,155295,otros
PUC,155299,ajustes por inflacion
PUC,1556,acueductos plantas y redes
PUC,155605,instalaciones para agua y energia
PUC,155610,acueducto acequias y canalizaciones
PUC,155615,plantas de generacion hidraulica
PUC,155620,plantas de generacion termica
PUC,155625,plantas de generacion a gas
PUC,155628,"plantas de generacion diesel, gasolina y petroleo"
PUC,155630,plantas de distribucion
PUC,155635,plantas de transmision y subestaciones
PUC,155640,oleoductos
PUC,155645,gasoductos
PUC,155647,poliductos
PUC,155650,redes de distribucion
PUC,155655,plantas de tratamiento
PUC,155660,redes de recoleccion de aguas negras
PUC,155665,instalaciones y equipo de bombeo
PUC,155670,redes de distribucion de vapor
PUC,155675,redes de aire
PUC,155680,redes alimentacion de gas
PUC,155682,redes externas de telefonia
PUC,155685,plantas deshidratadoras
PUC,155695,otros
PUC,155699,ajustes por inflacion
PUC,1560,armamento de vigilancia
PUC,156099,ajustes por inflacion
PUC,1562,envases y empaques
PUC,156299,ajustes por inflacion
PUC,1564,plantaciones agricolas y forestales
PUC,156405,cultivos en desarrollo
PUC,156410,cultivos amortizables
PUC,156499,ajustes por inflacion
PUC,1568,vias de comunicacion
PUC,156805,pavimentacion y patios
PUC,156810,vias
PUC,156815,puentes
PUC,156820,calles
PUC,156825,aerodromos
PUC,156895,otros
PUC,156899,ajustes por inflacion
PUC,1572,minas y canteras
PUC,157205,minas
PUC,157210,canteras
PUC,157299,ajustes por inflacion
PUC,1576,pozos artesianos
PUC,157699,ajustes por inflacion
PUC,1580,yacimientos
PUC,158099,ajustes por inflacion
PUC,1584,semovientes
PUC,158405,especies menores
PUC,158410,especies mayores
PUC,158499,ajustes por inflacion
PUC,1588,propiedades planta y equipo en transito
PUC,158805,maquinaria y equipo
PUC,158810,equipo de oficina
PUC,158815,equipo de computacion y comunicacion
PUC,158820,equipo medico cientifico
PUC,158825,equipo de hoteles y restaurantes
PUC,158830,flota y equipo de transporte
PUC,158835,flota y equipo fluvial y/o maritimo
PUC,158840,flota y equipo aereo
PUC,158845,flota y equipo ferreo
PUC,158850,plantas y redes
PUC,158855,armamento de vigilancia
PUC,158860,semovientes
PUC,158865,envases y empaques
PUC,158899,ajustes por inflacion
PUC,1592,depreciacion acumulada
PUC,159205,construcciones y edificaciones
PUC,159210,maquinaria y equipo
PUC,159215,equipo de oficina
PUC,159220,equipo de computacion y comunicacion
PUC,159225,equipo medico cientifico
PUC,159230,equipo de hoteles y restaurantes
PUC,159235,flota y equipo de transporte
PUC,159240,flota y equipo fluvial y/o maritimo
PUC,159245,flota y equipo aereo
PUC,159250,flota y equipo ferreo
PUC,159255,acueductos plantas y redes
PUC,159260,armamento de vigilancia
PUC,159265,envases y empaques
PUC,159299,ajustes por inflacion
PUC,1596,depreciacion diferida
PUC,159605,exceso fiscal sobre la contable
PUC,159610,defecto fiscal sobre la contable (cr)
PUC,159699,ajustes por inflacion
PUC,1597,amortizacion acumulada
PUC,159705,plantaciones agricolas y forestales
PUC,159710,vias de comunicacion
PUC,159715,semovientes
PUC,159799,ajustes por inflacion
PUC,1598,agotamiento acumulado
PUC,159805,minas y canteras
PUC,159815,pozos artesianos
PUC,159820,yacimientos
PUC,159899,ajustes por inflacion
PUC,1599,provisiones
PUC,159904,terrenos
PUC,159906,materiales proyectos petroleros
PUC,159908,construcciones en curso
PUC,159912,maquinaria en montaje
PUC,159916,construcciones y edificaciones
PUC,159920,maquinaria y equipo
PUC,159924,equipo de oficina
