country,region,city,street_type,street_number,street_letter,street_bis,street_bis_complement,street_coordinates,numeral_number,numeral_letter,numeral_coordinates,height_number,interior_group_type,interior_group_code,interior_type,interior_code
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,316
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,317
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,318
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,319
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,320
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,321
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,10,322
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,62,-9999,ZZZZZ,2,1
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,66,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,0,6,-9999,FALSE,-9999,0,13,-9999,0,68,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,35,-9999,-9999,29,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,35,-9999,-9999,29,-9999,ZZZZZ,3,9
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,35,-9999,-9999,29,-9999,ZZZZZ,3,11
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,17,-9999,-9999,37,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,17,-9999,-9999,43,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,17,-9999,-9999,47,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,17,-9999,-9999,53,-9999,ZZZZZ,-9999,ZZZZZ
Colombia,Valle del Cauca,Cali,2,1,-9999,FALSE,-9999,-9999,17,-9999,-9999,57,-9999,ZZZZZ,-9999,ZZZZZ
