class,accountable,date,value
Date_Value,K2C-30-15-B3^2022-01-01,2022-01-01,1500000
Date_Value,C31-1B-64^2022-01-15,2022-01-15,2000000
Date_Value,K1B-30-16^2022-01-31,2022-01-31,3000000
Date_Value,C18-1N-33^2022-01-01,2022-01-01,1000000
Date_Value,A6N-13N-62-S110^2022-01-30,2022-01-30,500000
