accountable_id,date,value
A6N-13N-62-S101^2021-04-01,01/04/2022,1190000
A6N-13N-62-S102^2021-10-01,01/10/2022,
A6N-13N-62-S103^2020-06-01,01/06/2021,790000
A6N-13N-62-S104^2021-08-01,01/08/2022,
A6N-13N-62-S105^2021-09-01,01/09/2022,890000
A6N-13N-62-S108^2016-12-01,01/12/2021,638000
A6N-13N-62-S109^2021-07-01,01/07/2022,502000
A6N-13N-62-S110^2021-09-01,01/09/2022,
A6N-13N-62-S112^2015-04-01,01/04/2021,560000
A6N-13N-62-S112^2015-04-01,01/04/2022,605000
A6N-13N-62-S114^2021-09-01,01/09/2022,
A6N-13N-62-S201^2021-10-01,01/10/2022,
A6N-13N-62-S202^2021-10-01,01/10/2022,
A6N-13N-62-S204^2021-09-01,01/09/2022,
A6N-13N-62-S205^2020-08-01,01/08/2021,750000
A6N-13N-62-S205^2020-08-01,01/08/2022,830000
A6N-13N-62-S207^2004-03-01,01/03/2021,485000
A6N-13N-62-S207^2004-03-01,01/03/2022,497000
A6N-13N-62-S209^2006-03-21,21/03/2021,465000
A6N-13N-62-S209^2006-03-21,21/03/2022,476000
A6N-13N-62-S210^2017-03-20,20/03/2021,478000
A6N-13N-62-S211^2017-03-20,20/03/2021,467000
A6N-13N-62-S211^2017-03-20,20/03/2022,478000
A6N-13N-62-S212^2011-09-01,01/09/2021,467000
A6N-13N-62-S212^2011-09-01,01/09/2022,
A6N-13N-62-S214^2018-10-01,01/10/2021,467000
A6N-13N-62-S214^2018-10-01,01/10/2022,
A6N-13N-62-S217^2018-12-01,01/12/2020,472000
A6N-13N-62-S217^2018-12-01,01/12/2021,468000
A6N-13N-62-S219^2004-02-09,09/02/2021,468000
A6N-13N-62-S219^2004-02-09,09/02/2022,480000
A6N-13N-62-S221^2018-06-15,15/06/2021,342000
A6N-13N-62-S221^2018-06-15,15/06/2022,370000
A6N-13N-62-S302^2021-08-01,01/08/2022,780000
A6N-13N-62-S305^2021-02-01,01/02/2022,785000
A6N-13N-62-S306^2018-06-01,01/06/2021,458000
A6N-13N-62-S306^2018-06-01,01/06/2022,458000
A6N-13N-62-S311^2021-11-01,01/11/2022,
A6N-13N-62-S312^2007-06-01,01/06/2021,490000
A6N-13N-62-S312^2007-06-01,01/06/2022,530000
A6N-13N-62-S314^2019-06-01,01/06/2021,455000
A6N-13N-62-S314^2019-06-01,01/06/2022,500000
A6N-13N-62-S315^2019-08-01,01/08/2021,310000
A6N-13N-62-S318^2021-08-01,01/08/2022,323000
A6N-13N-62-S319^2021-08-01,01/08/2022,524000
A6N-13N-62-S321^1996-08-13,13/08/2021,347000
A6N-13N-62-S321^1996-08-13,13/08/2022,372000
A6N-13N-62-S322^2021-01-01,01/01/2022,480000
A6N-13N-66^2019-04-01,01/04/2021,730000
A6N-13N-66^2019-04-01,01/04/2022,790000
A6N-13N-68^1999-02-01,01/02/2021,2600000
A6N-13N-68^1999-02-01,01/02/2022,2720000
C18-1N-33^2021-10-01,01/10/2022,
C18-1N-41^2021-02-01,01/02/2022,
C30-1B-13^2017-05-01,01/05/2021,
C30-1B-13^2017-05-01,01/05/2022,
C30-1B-15-B2^2013-04-15,15/04/2021,
C30-1B-15-B2^2013-04-15,15/04/2022,
C30-1B-15-B3^2017-10-01,01/10/2021,
C30-1B-15-B3^2017-10-01,01/10/2022,
C30-1B-15-B5^2019-04-01,01/04/2021,
C30-1B-15-B5^2019-04-01,01/04/2022,
C30-1B-27^2014-09-01,01/09/2021,
C30-1B-27^2014-09-01,01/09/2022,
C30-1B-31^2019-11-01,01/11/2020,
C30-1B-31^2019-11-01,01/11/2021,
C30-1B-31^2019-11-01,01/11/2022,
C31-1B-24^2016-02-15,15/02/2017,
C31-1B-24^2016-02-15,15/02/2018,
C31-1B-24^2016-02-15,15/02/2019,
C31-1B-24^2016-02-15,15/02/2020,
C31-1B-24^2016-02-15,15/02/2021,
C31-1B-24^2016-02-15,15/02/2022,
C31-1B-24^2018-05-01,01/05/2019,
C31-1B-24^2018-05-01,01/05/2020,
C31-1B-24^2018-05-01,01/05/2021,
C31-1B-24^2018-05-01,01/05/2022,
C31-1B-34^2004-08-01,01/08/2005,
C31-1B-34^2004-08-01,01/08/2006,
C31-1B-34^2004-08-01,01/08/2007,
C31-1B-34^2004-08-01,01/08/2008,
C31-1B-34^2004-08-01,01/08/2009,
C31-1B-34^2004-08-01,01/08/2010,
C31-1B-34^2004-08-01,01/08/2011,
C31-1B-34^2004-08-01,01/08/2012,
C31-1B-34^2004-08-01,01/08/2013,
C31-1B-34^2004-08-01,01/08/2014,
C31-1B-34^2004-08-01,01/08/2015,
C31-1B-34^2004-08-01,01/08/2016,
C31-1B-34^2004-08-01,01/08/2017,
C31-1B-34^2004-08-01,01/08/2018,
C31-1B-34^2004-08-01,01/08/2019,
C31-1B-34^2004-08-01,01/08/2020,
C31-1B-34^2004-08-01,01/08/2021,
C31-1B-34^2004-08-01,01/08/2022,
C31-1B-4^2009-01-01,01/01/2010,
C31-1B-4^2009-01-01,01/01/2011,
C31-1B-4^2009-01-01,01/01/2012,
C31-1B-4^2009-01-01,01/01/2013,
C31-1B-4^2009-01-01,01/01/2014,
C31-1B-4^2009-01-01,01/01/2015,
C31-1B-4^2009-01-01,01/01/2016,
C31-1B-4^2009-01-01,01/01/2017,
C31-1B-4^2009-01-01,01/01/2018,
C31-1B-4^2009-01-01,01/01/2019,
C31-1B-4^2009-01-01,01/01/2020,
C31-1B-4^2009-01-01,01/01/2021,
C31-1B-4^2009-01-01,01/01/2022,
