accountable_id,date,value
C31-1B-74^2012-12-07,07/12/2013,
C31-1B-74^2012-12-07,07/12/2014,
C31-1B-74^2012-12-07,07/12/2015,
C31-1B-74^2012-12-07,07/12/2016,
C31-1B-74^2012-12-07,07/12/2017,
C31-1B-74^2012-12-07,07/12/2018,
C31-1B-74^2012-12-07,07/12/2019,
C31-1B-74^2012-12-07,07/12/2020,
C31-1B-74^2012-12-07,07/12/2021,
C31-1B-80^2013-06-01,01/06/2014,
C31-1B-80^2013-06-01,01/06/2015,
C31-1B-80^2013-06-01,01/06/2016,
C31-1B-80^2013-06-01,01/06/2017,
C31-1B-80^2013-06-01,01/06/2018,
C31-1B-80^2013-06-01,01/06/2019,
C31-1B-80^2013-06-01,01/06/2020,
C31-1B-80^2013-06-01,01/06/2021,
C31-1B-80^2013-06-01,01/06/2022,
K1-17-37^2012-02-01,01/02/2013,
K1-17-37^2012-02-01,01/02/2014,
K1-17-37^2012-02-01,01/02/2015,
K1-17-37^2012-02-01,01/02/2016,
K1-17-37^2012-02-01,01/02/2017,
K1-17-37^2012-02-01,01/02/2018,
K1-17-37^2012-02-01,01/02/2019,
K1-17-37^2012-02-01,01/02/2020,
K1-17-37^2012-02-01,01/02/2021,
K1-17-37^2012-02-01,01/02/2022,
K1-17-43^2017-07-15,15/07/2018,
K1-17-43^2017-07-15,15/07/2019,
K1-17-43^2017-07-15,15/07/2020,
K1-17-43^2017-07-15,15/07/2021,
K1-17-43^2017-07-15,15/07/2022,
K1-17-47^2021-10-01,01/10/2022,
K1-17-53^2017-06-01,01/06/2018,
K1-17-53^2017-06-01,01/06/2019,
K1-17-53^2017-06-01,01/06/2020,
K1-17-53^2017-06-01,01/06/2021,
K1-17-53^2017-06-01,01/06/2022,
K1-17-57^2001-09-01,01/09/2002,
K1-17-57^2001-09-01,01/09/2003,
K1-17-57^2001-09-01,01/09/2004,
K1-17-57^2001-09-01,01/09/2005,
K1-17-57^2001-09-01,01/09/2006,
K1-17-57^2001-09-01,01/09/2007,
K1-17-57^2001-09-01,01/09/2008,
K1-17-57^2001-09-01,01/09/2009,
K1-17-57^2001-09-01,01/09/2010,
K1-17-57^2001-09-01,01/09/2011,
K1-17-57^2001-09-01,01/09/2012,
K1-17-57^2001-09-01,01/09/2013,
K1-17-57^2001-09-01,01/09/2014,
K1-17-57^2001-09-01,01/09/2015,
K1-17-57^2001-09-01,01/09/2016,
K1-17-57^2001-09-01,01/09/2017,
K1-17-57^2001-09-01,01/09/2018,
K1-17-57^2001-09-01,01/09/2019,
K1-17-57^2001-09-01,01/09/2020,
K1-17-57^2001-09-01,01/09/2021,
K1-17-57^2001-09-01,01/09/2022,
K1-35-29-B11^2020-08-01,01/08/2021,
K1-35-29-B11^2020-08-01,01/08/2022,
K1-35-29-B9^2021-09-01,01/09/2022,
K1B-30-16^2006-05-10,10/05/2007,
K1B-30-16^2006-05-10,10/05/2008,
K1B-30-16^2006-05-10,10/05/2009,
K1B-30-16^2006-05-10,10/05/2010,
K1B-30-16^2006-05-10,10/05/2011,
K1B-30-16^2006-05-10,10/05/2012,
K1B-30-16^2006-05-10,10/05/2013,
K1B-30-16^2006-05-10,10/05/2014,
K1B-30-16^2006-05-10,10/05/2015,
K1B-30-16^2006-05-10,10/05/2016,
K1B-30-16^2006-05-10,10/05/2017,
K1B-30-16^2006-05-10,10/05/2018,
K1B-30-16^2006-05-10,10/05/2019,
K1B-30-16^2006-05-10,10/05/2020,
K1B-30-16^2006-05-10,10/05/2021,
K1B-30-16^2006-05-10,10/05/2022,
K1B-30-34^2013-09-01,01/09/2014,
K1B-30-34^2013-09-01,01/09/2015,
K1B-30-34^2013-09-01,01/09/2016,
K1B-30-34^2013-09-01,01/09/2017,
K1B-30-34^2013-09-01,01/09/2018,
K1B-30-34^2013-09-01,01/09/2019,
K1B-30-34^2013-09-01,01/09/2020,
K1B-30-34^2013-09-01,01/09/2021,
K1B-30-34^2013-09-01,01/09/2022,
K1B-30-52^1970-01-01,01/01/1971,
K1B-30-52^1970-01-01,01/01/1972,
K1B-30-52^1970-01-01,01/01/1973,
K1B-30-52^1970-01-01,01/01/1974,
K1B-30-52^1970-01-01,01/01/1975,
K1B-30-52^1970-01-01,01/01/1976,
K1B-30-52^1970-01-01,01/01/1977,
K1B-30-52^1970-01-01,01/01/1978,
K1B-30-52^1970-01-01,01/01/1979,
K1B-30-52^1970-01-01,01/01/1980,
K1B-30-52^1970-01-01,01/01/1981,
K1B-30-52^1970-01-01,01/01/1982,
K1B-30-52^1970-01-01,01/01/1983,
K1B-30-52^1970-01-01,01/01/1984,
K1B-30-52^1970-01-01,01/01/1985,
K1B-30-52^1970-01-01,01/01/1986,
K1B-30-52^1970-01-01,01/01/1987,
K1B-30-52^1970-01-01,01/01/1988,
K1B-30-52^1970-01-01,01/01/1989,
K1B-30-52^1970-01-01,01/01/1990,
K1B-30-52^1970-01-01,01/01/1991,
K1B-30-52^1970-01-01,01/01/1992,
K1B-30-52^1970-01-01,01/01/1993,
K1B-30-52^1970-01-01,01/01/1994,
K1B-30-52^1970-01-01,01/01/1995,
K1B-30-52^1970-01-01,01/01/1996,
K1B-30-52^1970-01-01,01/01/1997,
K1B-30-52^1970-01-01,01/01/1998,
K1B-30-52^1970-01-01,01/01/1999,
K1B-30-52^1970-01-01,01/01/2000,
K1B-30-52^1970-01-01,01/01/2001,
K1B-30-52^1970-01-01,01/01/2002,
K1B-30-52^1970-01-01,01/01/2003,
K1B-30-52^1970-01-01,01/01/2004,
K1B-30-52^1970-01-01,01/01/2005,
K1B-30-52^1970-01-01,01/01/2006,
K1B-30-52^1970-01-01,01/01/2007,
K1B-30-52^1970-01-01,01/01/2008,
K1B-30-52^1970-01-01,01/01/2009,
K1B-30-52^1970-01-01,01/01/2010,
K1B-30-52^1970-01-01,01/01/2011,
K1B-30-52^1970-01-01,01/01/2012,
K1B-30-52^1970-01-01,01/01/2013,
K1B-30-52^1970-01-01,01/01/2014,
K1B-30-52^1970-01-01,01/01/2015,
K1B-30-52^1970-01-01,01/01/2016,
K1B-30-52^1970-01-01,01/01/2017,
K1B-30-52^1970-01-01,01/01/2018,
K1B-30-52^1970-01-01,01/01/2019,
K1B-30-52^1970-01-01,01/01/2020,
K1B-30-52^1970-01-01,01/01/2021,
K1B-30-52^1970-01-01,01/01/2022,
K1B-30-52^2018-05-01,01/05/2019,
K1B-30-52^2018-05-01,01/05/2020,
K1B-30-52^2018-05-01,01/05/2021,
K1B-30-52^2018-05-01,01/05/2022,
K2C-29-36^2017-04-01,01/04/2018,
K2C-29-36^2017-04-01,01/04/2019,
K2C-29-36^2017-04-01,01/04/2020,
K2C-29-36^2017-04-01,01/04/2021,
K2C-29-36^2017-04-01,01/04/2022,
K2C-30-15-B2^2019-07-01,01/07/2020,
K2C-30-15-B2^2019-07-01,01/07/2021,
K2C-30-15-B2^2019-07-01,01/07/2022,
K2C-30-15-B3^2013-06-01,01/06/2014,
K2C-30-15-B3^2013-06-01,01/06/2015,
K2C-30-15-B3^2013-06-01,01/06/2016,
K2C-30-15-B3^2013-06-01,01/06/2017,
K2C-30-15-B3^2013-06-01,01/06/2018,
K2C-30-15-B3^2013-06-01,01/06/2019,
K2C-30-15-B3^2013-06-01,01/06/2020,
K2C-30-15-B3^2013-06-01,01/06/2021,
K2C-30-15-B3^2013-06-01,01/06/2022,
K2C-30-27^2020-10-01,01/10/2021,
K2C-30-27^2020-10-01,01/10/2022,
K2C-30-29^2019-11-01,01/11/2020,
K2C-30-29^2019-11-01,01/11/2021,
K2C-30-29^2019-11-01,01/11/2022,
